plesalec,plesalka,drzava,kategorija,idplesalca
Horst Lormes,Antje Meyer,Germany,Senior IV,Horst_Lormes-da36de55-8754-46d0-bdba-9e14012c6f3e
Karl Kaltenbrunner,Brunhilde Kaltenbrunner,Germany,Senior IV,Karl_Kaltenbrunner-fe3df06b-d075-40d5-8216-9e14012f734d
Andreas Hoehne,Petra Wiesel,Germany,Senior IV,Andreas_Hoehne-99eb153c-9999-4da9-b7b4-9e1401308b64
Thomas Neubauer,Sabine Neubauer,Germany,Senior II,Thomas_Neubauer-c2e1dc2f-9195-4490-ae6c-9e140133fe1b
Hubert Fischer,Monika Fischer,Germany,Senior II,Hubert_Fischer-55ab7064-af91-4ca5-96ca-9e140133fe87
Hans-Juergen Boehnlein,Hilde Boehnlein,Germany,Senior III,Hans-Juergen_Boehnlein-2dc02e57-d4b0-4c62-bcd8-9e140159e03a
Michael Hinnendahl,Annette Hahne-Hinnendahl,Germany,Senior II,Michael_Hinnendahl-bc92e4e0-993a-48de-aa67-9e140159fb0b
Stefan Schoenberg,Christine Schroeder-Schoenberg,Germany,Senior I,Stefan_Schoenberg-e61fbd84-3a0a-471e-b14e-9e140155fa80
Sebastian Patrick Sikora,Katrin Sikora,Germany,Adult,Sebastian_Patrick_Sikora-d361978c-be6b-464c-af93-9e14015a2d6d
Dieter Tisiotti,Andrea Tisiotti,Germany,Senior II,Dieter_Tisiotti-1a4c0771-4726-496c-871d-9e14015a34b9
Jose Angel Zubiaurre Chapero,Araceli Rodriguez Pelaez,Spain,Senior III,Jose_Angel_Zubiaurre_Chapero-efc09073-dd55-445b-86ce-a190012a7e00
Angelo Domenico Paolicelli,Isabella La Monica,Italy,Adult,Angelo_Domenico_Paolicelli-f247ff38-c4af-48cd-afb9-9e14015eddcd
Michael Scerri,Doreen Scerri,Malta,Senior IV,Michael_Scerri-4af6c461-f5a0-4d93-bec3-a18501259a2b
Joshua Groleas,Agathe Porte,France,Adult,Joshua_Groleas-9df33946-6848-49e1-9f5c-a18701371e14
Jean-Francois Tiran,Lena Mariya Tiran,France,Senior II,Jean-Francois_Tiran-26cfc49a-47a1-4fba-b2ed-9e14015b8916
Andrey Miloserdov,Liubov Yarovaya,Russian Federation,Senior III,Andrey_Miloserdov-b8494849-6910-498e-ade4-9e1401238f8b
Sadawit Settachai,Nichkamol Ketphong,Thailand,Adult,Sadawit_Settachai-fbd77cf9-b9bd-40c4-8b64-a17000b2d832
Alessandro Reina,Sofia Piattoli,Italy,Youth,Alessandro_Reina-f5968a05-4c59-456c-b269-a16900ec65f1
